empty,field_opp_no,field_opp_primary_at,field_opp_primary_vt,field_opp_source,field_opp_ideation_date,field_opp_context_field,field_opp_theme,field_opp_description,field_opp_tcv_range,field_opp_tcv_est,field_opp_stakeholder,field_opp_decision_maker,field_opp_potential_competitor,field_opp_comments
,543,Airbus,Manufacturing,LTI,5/4/2017,,"Customer interface for stakeholders (cockpit, crew, ground staff)","▪      Mobile apps & devices for cockpit crew, cabin crew, and ground staff (view schedules, bid for routes, swap pairings, “electronic flight bag”)",,,,,,
,544,Airbus,Manufacturing,LTI,5/4/2017,,"Automation in aircraft operations (e.g., weight and balance checks, next day routing, fuel calculations)","▪      Automate aircraft operation to increase reliability, e.g., weight and balance checks, next day routing based on automatic economic evaluation model, fuel calculation, fuel load sent to vendors",,,,,,
,545,Airbus,Manufacturing,LTI,5/4/2017,,E-enablement for airlines,"Idea of enabling airlines to leverage data produced by airplanes 
▪       Challenge is that airlines are buying new generation aircraft but have no clue on how to leverage the data generated 
▪       There are 100s of sensors on an airplane (e.g., sensor on landing gear can be used to analyze how rushed was the landing and to get a sense of maintenance) 
▪       Airplanes can provide packaged services to make this data useful, including sending information to data center through 3G/4G/satellite antennas, ground station to receive the data and analyze to derive operational insights",,,,,,
,546,Airbus,Manufacturing,LTI,5/4/2017,,Consolidation of IT systems,"▪       Opportunity to consolidate core functions, post the reorganization of Airbus Group into Airbus
 –      Large, complex IT systems (primarily SAP) need to be simplified to drive down cost and increase efficiency 
–      Complexity arises due to formation of Airbus through multiple JVs with 100 different versions of SAP (some being 20 years old, some 2 month old)",,,,,,
,547,Airbus,Manufacturing,LTI,5/4/2017,,Cloud migration of core systems,"▪       Explore cloud migration of functional systems (e.g., HR, finance, legal) to Azure, AWS 
▪       Airbus is fairly open for different cloud solutions for different systems and approaches it piece-meal 
▪       Address issue of data compatibility and accessibility from old systems to new systems",,,,,,
,548,Airbus,Manufacturing,LTI,5/4/2017,,Consistent compatible software (defining rules and monitoring adherence),"▪       For Airbus, incomplete roll-out of CATIA v5 for A380 led to major issues (difference in Service Packs destructive as well) ; for Boeing, longer than planned software roll-out at suppliers delayed 787 delivery",,,,,,
,549,Airbus,Manufacturing,LTI,5/4/2017,,Scheduling/managing for data transfer capacity / needs,"▪       A380 data transfer were up to ~4Tb per transfer, leading to a smart-schedule for data transfers (e.g., monthly bulk update, offline exchange: inviting on-site the skills requiring full sharing, e.g., acoustics)",,,,,,
,550,Airbus,Manufacturing,LTI,5/4/2017,,Digital thread for cross-functional data and information connectivity,"▪       Create seamless cross-functional data and information connectivity within production, and across the end-to-end value chain",,,,,,
,551,Airbus,Manufacturing,LTI,5/4/2017,,Improved data security against hacking,▪       Interested in looking at new ideas to improve data security (both on servers and cloud),,,,,,
,552,Airbus,Manufacturing,LTI,5/4/2017,,Knowledge management system,▪       Each unit in Airbus has a separate knowledge management system to maintain repository of research and development ▪       Focus is now on developing a common system across the organisation,,,,,,
,553,Ajinomoto,CPG,LTI,6/1/2017,,"Automation across customer-service support
","To maintain level of customer support, Ajinomoto kept on adding more customer service people in low cost countries (each costing USD 65-70K annually)
North America team had 19 people with 8 on customer service on food ingredient, 6 on amino acids, 2 for documentation on food ingredient and 3 for documentation on amino acids
Europe, Taiwan, Indonesia and Japan have their own independent groups (much larger than US)
Opportunity to automate large part of this customer support to take out people costs",,,"Baku Hayashi (Vice President, Information Systems)
Mike Lish (Vice President North America)",,,
,554,Ajinomoto,CPG,LTI,6/1/2017,,"Optimization and automation of order processing
","Opportunity to automate order processing, to prevent further additions of resources to manage demand and hence, realise savings
Currently only very few customers are doing electronic payments and leveraging electronic transmission of invoice, due to the lack of confidence on integrity and safeguards of systems",,,"Baku Hayashi (Vice President, Information Systems)
Mike Lish (Vice President North America)",,,
,555,Ajinomoto,CPG,LTI,6/1/2017,,"Improvised inventory control through automating and tying in forecasts and demands
","Need to automate and integrate supply chain and demand forecasts to better manage raw material production (expiration of raw materials, how much to order)
This automation is a great area for cost reduction as Ajinomoto carries 6 months of inventory (worth USD 50 Mn) at any point in time",,,"Baku Hayashi (Vice President, Information Systems)
Mike Lish (Vice President North America)",,,
,556,Ajinomoto,CPG,LTI,6/1/2017,,"Preventive maintenance for spare parts
","Integrate ERP systems and RAM systems for tracking and preventive maintenance of spare parts, to decide when to shut down parts",,,"Baku Hayashi (Vice President, Information Systems)
Mike Lish (Vice President North America)",,,
,557,Ajinomoto,CPG,LTI,6/1/2017,,"JDE and SAP assimilation for Windsor plants in Portland, Southern Europe and Southern Japan
","Ajinomoto plants have SAP, Windsor JDE
Post acquisition, Windsor had started assimilation with SAP (been underway for 2 years now)
Potential to explore opportunity to assimilate JDE and SAP in either the Portland plant or plants in Southern Europe and Southern Japan
Although Ajinomoto has an internal department with the familiarity of such implementations and are trying to make that department more robust (have even posted job profiles on LinkedIn)",,,"Stephan Henze (Vice President, IT, US)",,,
,558,Ajinomoto,CPG,LTI,6/1/2017,,JDE support and maintenance,"Is primarily in-house with the concerned department trying to make itself more robust
However, the in-charge is penny-wise and would be open to explore outsourcing opportunities",,,"Stephan Henze (Vice President, IT, US)
",,,
,559,Ajinomoto,CPG,LTI,6/1/2017,,JDE implementation for MRO function,"Windsor had JDE implementation for finance, transportation and manufacturing but not for MRO
This has been a big concern in the past and would need help with implementation of JDE for the function",,,"Stephan Henze (Vice President, IT, US)
",,,
,560,Ajinomoto,CPG,LTI,6/1/2017,,Development of customer order fill rate forecasting model/system,"Need to create a robust forecasting model for customer order prediction
Forecasting accuracy from standpoint of customer order fill rate has been an issue for a number of years, with order predictions varying from 50-150%
Inaccurate forecasting leads to plants spending a great deal of time changing scheduling and adjusting capacity to satisfy the forecast, leading to a lot of waste
This in-turn leads to tremendous amount of second market sales or shorting of orders",,,"Rick Alden (Director Demand Planning and Logistics)
Tim Arndt (Senior Director of Purchasing)",,,
,561,Ajinomoto,CPG,LTI,6/1/2017,,Standardization of MRO across similar plants through common system,"Plants with similar floor plans, loaders, systems have no common systems to manage them well centrally, have no agreement to standardize the process
Opportunity to create a common system that can simplify and standardize the processes right from the onset",,,"Stephan Henze (Vice President, IT, US)
George Jurkovich (Executive Vice President)",,,
,562,Ajinomoto,CPG,LTI,6/1/2017,,Integration of Salesforce with ERP (QAD) to enable a robust sales system,"Opportunity to integrate the Salesforce.com system with ERP systems to ensure robust sales process for contract management (lead generation, opportunity, proposal submission) that integrates into supply chain planning (capacity, time, scheduling planning)
Currently an opportunity logged into Salesforce is used to communicate only within sales team; supply chain managers only get it in PDF form which needs to be manually put into the ERP system for demand predictions
Everything on the client front is also manual and any editions need to done manually",,,,,,
,563,Ajinomoto,CPG,LTI,6/1/2017,,Integrating Althea with OmniChem,Opportunity to integrate the 2 similar biotech subsidiaries of Ajinomoto - Althea and OmniChem (Europe) - to leverage economies of scale for supply chain purposes and for better and centralized negotiation of contracts,,,,,,
